time_out,user_action,correct_action,stimulus_color,facing_direction,stroop,inputs_swapped,reaction_time_clock,iti,reading_time_clock,group_name,stimulus_num,rule_name,attempt,block_num,sequence_num
False,SKIP,SKIP,GREEN,L,False,False,0.6468177899951115,0.5,4.4584452860290185,negation,4,sequence with negation,0,6,2
False,SKIP,SKIP,GREEN,L,False,False,0.9185159729677252,0.5,94.96189294103533,negation,0,not first,0,7,2
False,SKIP,SKIP,GREEN,L,False,False,0.63084215199342,0.5,94.96189294103533,negation,1,not first,0,7,2
False,PHOTO,PHOTO,RED,L,False,False,0.565464457962662,0.5,94.96189294103533,negation,2,not first,0,7,2
False,PHOTO,PHOTO,BLUE,L,False,False,0.46206951898057014,0.5,94.96189294103533,negation,3,not first,0,7,2
False,PHOTO,PHOTO,YELLOW,L,False,False,0.5453168130479753,0.5,94.96189294103533,negation,4,not first,0,7,2
False,SKIP,SKIP,RED,L,False,False,0.48530177696375176,0.5,2.44272395898588,medium,0,simple sequence,0,8,3
False,SKIP,SKIP,YELLOW,L,False,False,0.37931620102608576,0.5,2.44272395898588,medium,1,simple sequence,0,8,3
False,SKIP,PHOTO,GREEN,L,False,False,0.6470014110091142,0.5,2.44272395898588,medium,2,simple sequence,0,8,3
False,SKIP,SKIP,GREEN,L,False,False,0.8179677089792676,0.5,1.0143421659595333,medium,0,simple sequence,1,8,3
False,SKIP,SKIP,YELLOW,L,False,False,0.39932189701357856,0.5,1.0143421659595333,medium,1,simple sequence,1,8,3
False,SKIP,SKIP,GREEN,L,False,False,0.4166335770278238,0.5,1.0143421659595333,medium,2,simple sequence,1,8,3
False,PHOTO,PHOTO,RED,L,False,False,0.3824972549919039,0.5,1.0143421659595333,medium,3,simple sequence,1,8,3
False,SKIP,SKIP,GREEN,L,False,False,0.38190319400746375,0.5,1.0143421659595333,medium,4,simple sequence,1,8,3
False,SKIP,SKIP,YELLOW,L,False,False,0.4182169509585947,0.5,3.983890848001465,medium,0,rule shifting,0,9,3
False,SKIP,SKIP,GREEN,L,False,False,0.6993043089751154,0.5,3.983890848001465,medium,1,rule shifting,0,9,3
False,SKIP,SKIP,GREEN,L,False,False,0.38097480399301276,0.5,3.983890848001465,medium,2,rule shifting,0,9,3
False,PHOTO,PHOTO,RED,L,False,False,0.4306474379845895,0.5,3.983890848001465,medium,3,rule shifting,0,9,3
False,PHOTO,PHOTO,GREEN,L,False,False,0.8309034209814854,0.5,3.983890848001465,medium,4,rule shifting,0,9,3
False,SKIP,SKIP,BLUE,L,False,False,0.36658959701890126,0.5,3.983890848001465,medium,5,rule shifting,0,9,3
False,SKIP,SKIP,BLUE,L,False,False,0.34718917502323166,0.5,3.983890848001465,medium,6,rule shifting,0,9,3
False,PHOTO,PHOTO,YELLOW,L,False,False,0.4851157490047626,0.5,3.6165668329922482,medium,0,branching,0,10,3
False,SKIP,SKIP,GREEN,L,False,False,0.4491412240313366,0.5,3.6165668329922482,medium,1,branching,0,10,3
False,PHOTO,PHOTO,YELLOW,L,False,False,0.480524931976106,0.5,3.6165668329922482,medium,2,branching,0,10,3
False,SKIP,SKIP,RED,L,False,False,0.38108209799975157,0.5,3.6165668329922482,medium,3,branching,0,10,3
False,PHOTO,PHOTO,YELLOW,L,False,False,0.596924145007506,0.5,3.6165668329922482,medium,4,branching,0,10,3
False,SKIP,SKIP,RED,L,False,False,0.48074311995878816,0.5,3.6165668329922482,medium,5,branching,0,10,3
False,SKIP,SKIP,RED,L,False,False,0.647332115971949,0.5,3.6165668329922482,medium,6,branching,0,10,3
False,SKIP,SKIP,GREEN,L,False,False,0.46447474497836083,0.5,3.6165668329922482,medium,7,branching,0,10,3
False,PHOTO,PHOTO,BLUE,L,False,False,0.41354872297961265,0.5,3.6165668329922482,medium,8,branching,0,10,3
False,PHOTO,PHOTO,BLUE,L,False,False,0.4132677759625949,0.5,3.6165668329922482,medium,9,branching,0,10,3
False,SKIP,SKIP,YELLOW,L,False,False,0.5185751770040952,0.5,0.9677950500044972,second order,0,facing left,0,11,4
False,SKIP,SKIP,RED,L,False,False,0.29786447301739827,0.5,0.9677950500044972,second order,1,facing left,0,11,4
False,PHOTO,PHOTO,BLUE,L,False,False,0.44783944595837966,0.5,0.9677950500044972,second order,2,facing left,0,11,4
False,PHOTO,PHOTO,BLUE,L,False,False,0.46348688000580296,0.5,0.9677950500044972,second order,3,facing left,0,11,4
False,SKIP,SKIP,RED,L,False,False,0.4309896850027144,0.5,0.9677950500044972,second order,4,facing left,0,11,4
False,SKIP,SKIP,GREEN,L,False,False,0.5303037840058096,0.5,0.9677950500044972,second order,5,facing left,0,11,4
False,SKIP,SKIP,GREEN,R,False,False,0.6808378269779496,0.5,0.9677950500044972,second order,6,facing left,0,11,4
False,SKIP,SKIP,YELLOW,L,False,False,0.6184196510002948,0.5,3.5497967730043456,second order,0,sequence end facing right,0,12,4
False,SKIP,SKIP,GREEN,L,False,False,0.32911326503381133,0.5,3.5497967730043456,second order,1,sequence end facing right,0,12,4
False,SKIP,SKIP,BLUE,R,False,False,0.7624379920307547,0.5,3.5497967730043456,second order,2,sequence end facing right,0,12,4
False,SKIP,SKIP,RED,R,False,False,0.5832731300033629,0.5,3.5497967730043456,second order,3,sequence end facing right,0,12,4
False,SKIP,SKIP,BLUE,R,False,False,0.3640180610236712,0.5,3.5497967730043456,second order,4,sequence end facing right,0,12,4
False,PHOTO,PHOTO,YELLOW,R,False,False,0.3294805759796873,0.5,3.5497967730043456,second order,5,sequence end facing right,0,12,4
False,SKIP,SKIP,YELLOW,R,False,False,0.2803004590095952,0.5,3.5497967730043456,second order,6,sequence end facing right,0,12,4
False,SKIP,SKIP,RED,L,False,False,0.6813692100113258,0.5,3.5497967730043456,second order,7,sequence end facing right,0,12,4
False,SKIP,SKIP,GREEN,R,False,False,0.6486513790441677,0.5,3.5497967730043456,second order,8,sequence end facing right,0,12,4
False,SKIP,SKIP,RED,R,False,False,0.43063757102936506,0.5,3.5497967730043456,second order,9,sequence end facing right,0,12,4
False,PHOTO,PHOTO,BLUE,L,False,False,1.068991964973975,0.5,2.148755575006362,second order,0,not and facing left,0,13,4
False,PHOTO,PHOTO,BLUE,L,False,False,0.44728781998855993,0.5,2.148755575006362,second order,1,not and facing left,0,13,4
False,SKIP,SKIP,YELLOW,L,False,False,0.6975430999882519,0.5,2.148755575006362,second order,2,not and facing left,0,13,4
False,PHOTO,PHOTO,GREEN,L,False,False,0.665443203994073,0.5,2.148755575006362,second order,3,not and facing left,0,13,4
False,PHOTO,PHOTO,RED,L,False,False,0.4129449939937331,0.5,2.148755575006362,second order,4,not and facing left,0,13,4
False,SKIP,SKIP,GREEN,R,False,False,0.7469859010307118,0.5,2.148755575006362,second order,5,not and facing left,0,13,4
False,SKIP,SKIP,RED,R,False,False,0.3165344009757973,0.5,2.148755575006362,second order,6,not and facing left,0,13,4
False,SKIP,SKIP,YELLOW,R,False,False,0.34940744400955737,0.5,2.148755575006362,second order,7,not and facing left,0,13,4
False,PHOTO,PHOTO,BLUE,L,False,False,1.0487580570043065,0.5,2.148755575006362,second order,8,not and facing left,0,13,4
False,PHOTO,PHOTO,RED,L,False,False,1.7512334939674474,0.5,6.348299517005216,hard,0,modus ponens,0,14,5
False,SKIP,SKIP,YELLOW,L,False,False,0.38017276395112276,0.5,6.348299517005216,hard,1,modus ponens,0,14,5
False,PHOTO,PHOTO,RED,L,False,False,0.3957963509601541,0.5,6.348299517005216,hard,2,modus ponens,0,14,5
False,SKIP,SKIP,GREEN,L,False,False,0.380301883968059,0.5,6.348299517005216,hard,3,modus ponens,0,14,5
False,SKIP,SKIP,GREEN,L,False,False,0.3974510300322436,0.5,6.348299517005216,hard,4,modus ponens,0,14,5
False,SKIP,SKIP,GREEN,L,False,False,0.3797172789927572,0.5,6.348299517005216,hard,5,modus ponens,0,14,5
False,PHOTO,PHOTO,RED,L,False,False,0.67931477696402,0.5,6.348299517005216,hard,6,modus ponens,0,14,5
False,SKIP,SKIP,BLUE,L,False,False,1.035065510950517,0.5,5.031398307997733,hard,0,ordinal branching,0,15,5
False,PHOTO,PHOTO,GREEN,L,False,False,1.8136681439937092,0.5,5.031398307997733,hard,1,ordinal branching,0,15,5
False,SKIP,SKIP,BLUE,L,False,False,0.3144020829931833,0.5,5.031398307997733,hard,2,ordinal branching,0,15,5
False,SKIP,SKIP,RED,L,False,False,0.3469677389948629,0.5,5.031398307997733,hard,3,ordinal branching,0,15,5
False,PHOTO,PHOTO,GREEN,L,False,False,0.4636816150159575,0.5,5.031398307997733,hard,4,ordinal branching,0,15,5
